,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
0,178.2777164,169.1048966,169.1048966,175.3226414
0.04,176.8104454,166.5556907,166.6135963,174.0686208
0.08,176.3094567,164.5596532,164.3482372,174.0754075
0.090067247,176.3864294,163.5120617,163.1952187,174.1979658
0.12,174.2761914,161.7818428,160.5848108,172.9545947
0.131942167,173.5902032,161.2094915,159.961307,172.3195662
0.16,172.644416,160.1741639,158.8647551,171.4315167
0.2,172.1037099,159.190009,157.8923155,170.8700205
0.24,171.5357221,158.5131361,157.2022726,170.310269
0.28,170.9247922,157.8545099,156.5398454,169.6964135
0.32,170.3401469,157.2304003,155.9119175,169.1089189
0.36,169.8020416,156.6608082,155.338761,168.5680351
0.4,169.3076892,156.1441847,154.8187855,168.0710317
0.43,168.962759,155.7871937,154.4592438,167.7243834
0.44,168.8520906,155.6733394,154.3445721,167.6131449
0.48,168.4305731,155.2409669,153.9087999,167.1896938
0.52,168.0410641,154.8432519,153.5077531,166.7985009
0.56,167.6819882,154.4775539,153.1388435,166.4379373
0.6,167.3515891,154.1413334,152.7995232,166.1062581
0.64,167.0467091,153.8309148,152.4861325,165.8002623
0.68,166.7649825,153.5438635,152.1963012,165.517494
0.72,166.5051084,153.2790509,151.9289118,165.2566358
0.76,166.2661091,153.0353816,151.6828406,165.0167416
0.8,166.045971,152.8106204,151.455807,164.7958311
0.84,165.8421625,152.6021855,151.2452647,164.5912983
0.88,165.6537389,152.4093534,151.0505044,164.4021762
0.92,165.4801972,152.2316843,150.8710687,164.2279791
0.96,165.3208852,152.0684267,150.7061542,164.0681139
1,165.1732954,151.9168797,150.5530638,163.9200273
1.02,165.1030641,151.8448276,150.4803243,163.8495071
1.04,165.0364652,151.776307,150.4110876,163.782716
1.08,164.9101965,151.6466591,150.2801662,163.6559928
1.12,164.7943051,151.5276349,150.1599666,163.5397117
1.16,164.6873467,151.4175733,150.0488018,163.4324351
1.2,164.5878456,151.3149981,149.945227,163.332625
1.24,164.4956537,151.2199823,149.8493149,163.2401333
1.28,164.4109992,151.1328218,149.7613466,163.1552108
