"Plot23"
"Time (sec)","Velocity2 (mm/sec)"
0,4.43032943199742e-13
0.04,25.110412746481
0.08,143.116168085298
0.0900672471111267,236.499875586453
0.12,258.571360996726
0.13194216736287,242.775958264316
0.16,204.715486103495
0.2,188.0906533731
0.24,186.417191125219
0.28,186.01114041772
0.32,183.830851319093
0.36,181.476464572008
0.4,179.43992899927
0.43,177.748489398566
0.44,177.376617645456
0.48,175.622965681316
0.52,174.161239371435
0.56,172.927969851396
0.6,171.606140854668
0.64,170.316008241279
0.68,169.247461488572
0.72,168.413785933099
0.76,167.612992527295
0.8,166.622806110942
0.84,165.80873622518
0.88,165.201233695479
0.92,164.732421002788
0.96,164.018161760966
1,163.355395507618
1.02,163.365439464785
1.04,162.882969258536
1.08,162.581925621575
1.12,162.188698362843
1.16,161.639552607508
1.2,161.239147187083
1.24,161.017637803988
1.28,160.889512802733
1.32,160.4121085875
1.36,160.05871323016
1.38,160.171661138963
1.4,159.874121719416
1.4,159.874121719416
1.44,159.818965132951
1.48,159.57422107084
1.52,159.2348955736
1.56,159.042483158551
1.6,159.01843157795
1.64,158.985719848532
1.68,158.665390393955
1.69,158.787667886214
1.72,158.467766549648
1.76,158.427803359241
1.8,158.491032803888
1.84,158.283136624995
1.88,158.05673328279
1.92,157.979459877366
1.96,158.059489050426
2,158.039968645475
2.04,157.801944371254
2.08,157.689079704158
2.12,157.733787177416
2.16,157.858554456957
2.2,157.631414445982
2.24,157.47985247402
2.28,157.482187877744
2.28,157.482187877744
2.31,157.628802322554
2.32,157.607373978991
2.36,157.554064165203
2.4,157.367718926138
2.44,157.306836946738
2.48,157.405710446254
2.52,157.520523942866
2.56,157.30433766899
2.6,157.201624407257
2.62,157.405074399584
2.64,157.250509135412
2.68,157.402443232632
2.72,157.298694358496
2.76,157.140527136269
2.8,157.119356605743
2.84,157.260436521137
2.88,157.322650894897
2.92,157.137936485112
2.93,157.280867605926
2.96,157.066281310032
3,157.148248750493
3.04,157.315304617908
3.08,157.154289969388
3.12,157.022906391052
3.16,157.05111767085
3.2,157.221600554282
3.24,157.266102902259
3.28,157.131374104385
3.32,157.158738458068
3.36,157.360747606334
3.4,157.643428507364
3.44,157.550066854482
3.48,157.655109603426
3.52,158.147595591265
3.56,158.665418874855
3.6,158.866034885717
3.64,159.363306920881
3.68,160.088085902737
3.72,160.69894255352
3.76,160.805790369648
3.8,160.391492195542
3.84,160.207167729784
3.88,160.676315854325
3.92,161.275408624176
3.96,161.588556158075
4,162.09287566838
4.04,162.862144597977
4.08,163.64998734731
4.12,164.199412253483
4.16,164.51462282091
4.2,164.995847156547
4.24,165.653533809824
4.28,166.418384270759
4.32,166.706618486346
4.36,167.027118789197
4.4,167.657929173653
4.44,168.549971123979
4.48,169.017176171727
4.52,169.256484606831
4.56,169.783719413998
4.6,170.608469601694
4.64,171.275153222964
4.68,171.443039644188
4.72,171.988543281057
4.76,172.689486261869
4.76,172.689486261869
4.8,173.558974773789
4.84,174.048178570707
4.88,174.427239886848
4.92,174.643364702055
4.96,174.761388815313
5,175.877786570788
5.04,176.497217566244
5.08,176.689115515928
5.12,176.871945109406
5.16,177.031227834164
5.2,176.9996602648
5.24,177.692388265532
5.28,178.32991856709
5.32,179.253633264641
5.36,179.752880503732
5.4,179.616321870192
5.44,179.637979586654
5.48,163.125093991598
5.52,161.665355771754
5.56,161.029349675248
5.6,161.852079493812
5.6,161.852079493812
5.64,162.865267402519
5.68,175.748427183737
5.71429026590532,175.272561182677
5.72,175.821832964326
5.76,174.372581492096
5.8,170.475476085473
5.81974047122124,167.905406733817
5.84,166.243138654469
5.87577280941668,125.478658408535
5.88,141.978017837543
5.92,148.236094041398
5.96,124.816903141551
5.97914104197675,88.2317322883833
