"Plot22"
"Time (sec)","Velocity1 (mm/sec)"
0,4.442814606263e-13
0.04,382.98968387293
0.08,681.237054036128
0.0900672471111267,707.930766132064
0.12,306.470456450801
0.13194216736287,244.167594749067
0.16,217.624974016706
0.2,188.937136345776
0.24,187.05510836627
0.28,186.70975558231
0.32,184.291327851703
0.36,181.827840629395
0.4,179.747703409287
0.43,178.079778476197
0.44,177.69357191532
0.48,175.916267534132
0.52,174.408864635044
0.56,173.13046966711
0.6,171.79659789926
0.64,170.496823259009
0.68,169.401196186015
0.72,168.534077038152
0.76,167.71544360829
0.8,166.727599837647
0.84,165.901384173153
0.88,165.27267655131
0.92,164.78569115199
0.96,164.074501640319
1,163.409966933492
1.02,163.401793492167
1.04,162.926251093355
1.08,162.6123537629
1.12,162.216203928384
1.16,161.670176847996
1.2,161.265130663341
1.24,161.034819477914
1.28,160.900644775007
1.32,160.428664915261
1.36,160.074995785498
1.38,160.180717015724
1.4,159.885260588334
1.4,159.885260588334
1.44,159.825130066549
1.48,159.581350952175
1.52,159.244207682034
1.56,159.049702577149
1.6,159.021795136575
1.64,158.98809191334
1.68,158.670572730207
1.69,158.79001259224
1.72,158.472712428339
1.76,158.430267915639
1.8,158.491843840839
1.84,158.285264061063
1.88,158.05995842663
1.92,157.981457360877
1.96,158.060007483819
2,158.040467817837
2.04,157.803790365519
2.08,157.690662969623
2.12,157.734157071621
2.16,157.858578685805
2.2,157.63229059514
2.24,157.481214838439
2.28,157.482704303932
2.28,157.482704303932
2.31,157.628895237146
2.32,157.607401384384
2.36,157.5542164293
2.4,157.368575908739
2.44,157.307392369655
2.48,157.405735411807
2.52,157.520604394519
2.56,157.304826072595
2.6,157.20228200667
2.62,157.405100632892
2.64,157.250608565106
2.68,157.402570859939
2.72,157.298777741294
2.76,157.141062394259
2.8,157.119582647931
2.84,157.260492016914
2.88,157.322712580484
2.92,157.138267789571
2.93,157.280900786372
2.96,157.066600268825
3,157.148272486937
3.04,157.315625289046
3.08,157.154396322271
3.12,157.023322600588
3.16,157.051212387341
3.2,157.221757127998
3.24,157.266162382352
3.28,157.131538364297
3.32,157.15877065093
3.36,157.361091768736
3.4,157.644813440135
3.44,157.550186376189
3.48,157.6555010355
3.52,158.150037898386
3.56,158.672559107762
3.6,158.871634599927
3.64,159.370183185188
3.68,160.101942752144
3.72,160.721774132302
3.76,160.827136600578
3.8,160.399692167934
3.84,160.21103466242
3.88,160.682701680869
3.92,161.287661881402
3.96,161.599177435417
4,162.105562827476
4.04,162.88457391302
4.08,163.684350207405
4.12,164.234741040304
4.16,164.544020097723
4.2,165.027784688585
4.24,165.69411288541
4.28,166.467339350948
4.32,166.743925102035
4.36,167.06116673053
4.4,167.697380401489
4.44,168.601534334011
4.48,169.064569331902
4.52,169.294907094085
4.56,169.823583029891
4.6,170.659347957733
4.64,171.327799628373
4.68,171.481980613853
4.72,172.0266589588
4.76,172.735270381846
4.76,172.735270381846
4.8,173.613147858691
4.84,174.094920572757
4.88,174.468539400172
4.92,174.682100455535
4.96,174.794303998482
5,175.911368373053
5.04,176.532129660994
5.08,176.721453616507
5.12,176.900569203657
5.16,177.053060188755
5.2,177.007713409985
5.24,177.701310723471
5.28,178.344691051515
5.32,179.278647195051
5.36,179.779516963025
5.4,179.635818612964
5.44,179.656795979762
5.48,166.215219973335
5.52,166.083533338716
5.56,165.620442127316
5.6,166.793711462108
5.6,166.793711462108
5.64,168.31321213843
5.68,177.816332901983
5.71429026590532,177.528792905882
5.72,178.163293498413
5.76,176.877867268694
5.8,172.645725405635
5.81974047122124,169.468311401853
5.84,166.828761269543
5.87577280941668,175.901418297102
5.88,181.553928505354
5.92,153.611732513244
5.96,150.363514611108
5.97914104197675,178.803615161048
6,162.687948864536
6.04,152.940969686402
6.04,152.940969686402
6.073926503205,181.971016745231
6.08,187.491675857627
6.08585481478116,184.40165501315
6.12,158.876047718935
6.15477932563582,146.122870674515
6.16,165.126488023845
6.17335563833089,195.127504037953
6.2,167.129562224678
6.22419514337332,156.212713773818
6.24,150.777004143664
6.25355577562266,147.030526677337
6.26635796186688,196.065662976146
6.28,196.925772992762
6.28616510988928,181.40118562935
6.32,159.121339741388
6.36,192.018613324421
6.36927456551626,211.324498010262
6.4,169.227506794554
6.42211565134654,156.785318662342
6.44,146.179509741021
6.46174125057835,207.910154652131
6.47495099185759,208.32840918393
6.48,200.312037091403
6.52,158.894066987432
6.56,212.660753040313
6.6,171.922724944673
6.62934818372995,152.112716188152
