"Plot18"
"Time (sec)","Reaction Force22 (newton)"
0,-0
0.04,-0
0.08,-0
0.0900672471111267,-0
0.12,1.26310479536847e-21
0.13194216736287,2.44664765585465e-15
0.16,-1.40884531548241e-19
0.2,23.0307575532962
0.24,19.9595742997057
0.28,19.8492125807444
0.32,20.3297131361763
0.36,20.7979796191019
0.4,21.3750852495407
0.43,21.5601837088532
0.44,21.6901323148029
0.48,21.9004602792319
0.52,22.0606341806671
0.56,22.3734209341239
0.6,22.6469041232002
0.64,22.7767050219172
0.68,22.8520166442009
0.72,22.9775739481742
0.76,23.3087262364026
0.8,23.3931885490889
0.84,23.4363702550287
0.88,23.4794561521266
0.92,23.7373684925576
0.96,23.848494239424
1,23.8713641091396
1.02,24.0106070283384
1.04,23.8685832946059
1.08,23.9740694605882
1.12,24.1828887823911
1.16,24.1897571387351
1.2,24.1707844874169
1.24,24.1655655435322
1.28,24.4298701951433
1.32,24.4319506693307
1.36,24.3995186000776
1.38,24.5308874034184
1.4,24.366047722069
1.4,24.366047722069
1.44,24.4896346013175
1.48,24.6078256798732
1.52,24.5737080328683
1.56,24.5243929072757
1.6,24.5039029242477
1.64,24.7427675860293
1.68,24.7082837362961
1.69,24.7622491834113
1.72,24.6527578938749
1.76,24.6051224786575
1.8,24.7664090356654
1.84,24.8096344593475
1.88,24.754121042339
1.92,24.6895565453202
1.96,24.7159839525458
2,24.8856885785699
2.04,24.8347604136689
2.08,24.7685586240966
2.12,24.7168468419089
2.16,24.9244129992543
2.2,24.9009563271104
2.24,24.8335348426184
2.28,24.7656867539677
2.28,24.7656867539677
2.31,24.9491800683005
2.32,24.8413379200029
2.36,24.9481441199055
2.4,24.8874658276268
2.44,24.8149784177437
2.48,24.7655800700986
2.52,24.989982440307
2.56,24.9354644042304
2.6,24.861733115487
2.62,24.9808881935205
2.64,24.7966011612009
2.68,24.9249364081146
2.72,24.9719165992904
2.76,24.9033347315975
2.8,24.8270680644905
2.84,24.8231051708233
2.88,25.0011756367338
2.92,24.9417454149694
2.93,24.9951047328774
2.96,24.8663811249056
3,24.8047888322086
3.04,24.9868914497361
3.08,24.9752936338413
3.12,24.9023482795959
3.16,24.8270191988071
3.2,24.8707752984526
3.24,24.8445065680424
3.28,24.8029139823307
3.32,24.8091837535374
3.36,24.6184757596113
3.4,24.7091847644658
3.44,24.6955738832463
3.48,25.2272083899522
3.52,25.2207826342698
3.56,26.1607498361713
3.6,25.5250266125508
3.64,24.1024827259531
3.68,23.9447432619715
3.72,24.8401859441023
3.76,27.1339135874172
3.8,28.0569553904519
3.84,28.4079732510467
3.88,27.0135175173995
3.92,26.880174049624
3.96,27.1345158292079
4,26.79759854753
4.04,26.7296945822791
4.08,26.9642089087876
4.12,27.1328128547602
4.16,27.2528686417732
4.2,27.6025689370761
4.24,27.9750657716365
4.28,28.0642519550026
4.32,28.2621925240121
4.36,28.7404472889019
