"Plot17"
"Time (sec)","Reaction Force21 (newton)"
0,-0
0.04,-0
0.08,193.759973240162
0.0900672471111267,188.049256069948
0.12,283.773646482245
0.13194216736287,214.911804810153
0.16,104.975890820767
0.2,87.3010274403451
0.24,103.488715027523
0.28,106.946332477537
0.32,105.852090592873
0.36,105.018832858271
0.4,105.330891313158
0.43,104.310114540424
0.44,104.570281481218
0.48,103.938357938564
0.52,103.590666204441
0.56,103.913906916407
0.6,103.795858275797
0.64,103.19620659856
0.68,102.754067076708
0.72,102.784012777856
0.76,103.291001997684
0.8,102.742600099568
0.84,102.286713409323
0.88,102.135832422257
0.92,102.705125192284
0.96,102.452445058543
1,101.969060217312
1.02,102.603068478151
1.04,101.687266348674
1.08,101.959272199429
1.12,102.29501182752
1.16,101.829888266881
1.2,101.466575636705
1.24,101.432623757609
1.28,102.191196980564
1.32,101.75916862151
1.36,101.357108409186
1.38,101.981982173958
1.4,101.193343423045
1.4,101.193343423045
1.44,101.636452053574
1.48,101.767395481399
1.52,101.339225129472
1.56,101.039946158527
1.6,101.114684807385
1.64,101.809959992265
1.68,101.390883863994
1.69,101.723296550421
1.72,101.040040861815
1.76,100.953527411724
1.8,101.554669516891
1.84,101.471020925447
1.88,101.068627467825
1.92,100.823966952575
1.96,101.109072861595
2,101.581066569668
2.04,101.174959634331
2.08,100.859186685742
2.12,100.847071335395
2.16,101.596364109911
2.2,101.286435273587
2.24,100.917502646454
2.28,100.759093834285
2.28,100.759093834285
2.31,101.493393562079
2.32,101.185627789599
2.36,101.427322333734
2.4,101.036298626559
2.44,100.745285946646
2.48,100.807231228549
2.52,101.566614432955
2.56,101.168256532387
2.6,100.827830599845
2.62,101.445410074632
2.64,100.739414903453
2.68,101.307757093896
2.72,101.317232618707
2.76,100.926475753938
2.8,100.668223346337
2.84,100.911490965115
2.88,101.472116033681
2.92,101.082324994575
2.93,101.414058536819
2.96,100.762091530305
3,100.735431731273
3.04,101.44719064202
3.08,101.227475176229
3.12,100.845103836401
3.16,100.675613104109
3.2,101.070732811411
3.24,101.45688136225
3.28,101.032165496179
3.32,100.728375390932
3.36,100.911576604545
3.4,101.694419675818
3.44,101.367984820033
3.48,101.100290386997
3.52,101.080489071652
3.56,101.666887217399
3.6,101.707326037959
3.64,101.842782206739
3.68,101.875200115135
3.72,102.102891138008
3.76,102.423787545491
3.8,101.71308666427
3.84,101.365459808912
3.88,101.642912530923
3.92,102.563550633714
3.96,102.518347636323
4,102.33376505833
4.04,102.431361133015
4.08,102.966312822271
4.12,103.504748683782
4.16,103.272816477562
4.2,103.196175999782
4.24,103.372753027429
4.28,104.34860315954
4.32,104.223445358208
4.36,104.061132483465
4.4,104.189322677071
4.44,105.03083918945
4.48,105.448200506652
4.52,105.292896611635
4.56,105.323045354711
4.6,105.752494977148
4.64,106.80771453197
4.68,106.686173103424
4.72,106.747607416589
4.76,107.117140685157
