Rover_Displacement_Along_X_Axis,
Time (sec),Linear Displacement1 (mm)
0,-1244.694269
0.04,-1243.182066
0.08,-1241.431803
0.090067247,-1239.490048
0.12,-1231.523007
0.131942167,-1228.545056
0.16,-1222.3135
0.2,-1214.496634
0.24,-1207.038365
0.28,-1199.58489
0.32,-1192.19322
0.36,-1184.89929
0.4,-1177.698907
0.43,-1172.352772
0.44,-1170.579707
0.48,-1163.528794
0.52,-1156.540143
0.56,-1149.609535
0.6,-1142.732771
0.64,-1135.902765
0.68,-1129.114885
0.72,-1122.367137
0.76,-1115.657741
0.8,-1108.982567
0.84,-1102.336436
0.88,-1095.718068
0.92,-1089.126775
0.96,-1082.561417
1,-1076.016566
1.02,-1072.750397
1.04,-1069.490908
1.08,-1062.984517
1.12,-1056.497106
1.16,-1050.025526
1.2,-1043.566813
1.24,-1037.121178
1.28,-1030.689333
1.32,-1024.270945
1.36,-1017.86103
1.38,-1014.658956
1.4,-1011.459887
1.4,-1011.459887
1.44,-1005.068405
1.48,-998.6871415
1.52,-992.3129115
1.56,-985.9441063
1.6,-979.581596
1.64,-973.2272377
1.68,-966.8793148
1.69,-965.2915612
1.72,-960.5344479
1.76,-954.1935381
1.8,-947.8580602
1.84,-941.5285842
1.88,-935.2014179
1.92,-928.8763016
1.96,-922.5549156
2,-916.2382062
2.04,-909.9243979
2.08,-903.611218
2.12,-897.299794
2.16,-890.9918149
2.2,-884.6878544
2.24,-878.3836499
2.28,-872.0800505
2.28,-872.0800505
2.31,-867.3547458
2.32,-865.7787149
2.36,-859.4807144
2.4,-853.1834853
2.44,-846.8857178
2.48,-840.5888261
2.52,-834.2948871
2.56,-828.0031479
2.6,-821.710166
2.62,-818.5635785
2.64,-815.4171314
2.68,-809.1257639
2.72,-802.83704
2.76,-796.5477895
2.8,-790.2575585
2.84,-783.9683478
2.88,-777.6814371
2.92,-771.3953052
2.93,-769.8225317
2.96,-765.1076292
3,-758.8197969
3.04,-752.533579
3.08,-746.2496102
3.12,-739.9640403
3.16,-733.6777513
3.2,-727.3919907
3.24,-721.1068412
3.28,-714.8198575
3.32,-708.5286419
3.36,-702.2339178
3.4,-695.9361222
3.44,-689.6348831
3.48,-683.3243639
3.52,-676.9980351
3.56,-670.6550332
3.6,-664.3022223
3.64,-657.9268542
3.68,-651.5173301
3.72,-645.0846035
3.76,-638.6487182
3.8,-632.2210398
3.84,-625.7997573
3.88,-619.371042
3.92,-612.9269707
3.96,-606.4668971
4,-599.9829033
4.04,-593.4684176
4.08,-586.929837
4.12,-580.3739953
4.16,-573.8002619
4.2,-567.2067712
4.24,-560.5963994
4.28,-553.970097
4.32,-547.3301422
4.36,-540.6746317
4.4,-534.0058276
4.44,-527.3191713
4.48,-520.6209231
4.52,-513.9132675
4.56,-507.1952484
4.6,-500.464566
4.64,-493.7283272
4.68,-486.9899339
4.72,-480.2451955
4.76,-473.4941984
4.76,-473.4941984
4.8,-466.7432071
4.84,-459.9953095
4.88,-453.250306
4.92,-446.5145702
4.96,-439.7983193
5,-433.0963577
5.04,-426.4066134
5.08,-419.7402232
5.12,-413.1043803
5.16,-406.5017679
5.2,-399.9339585
5.24,-393.4013252
5.28,-386.9189792
5.32,-380.5038074
5.36,-374.1707739
5.4,-367.9244744
5.44,-361.7617842
5.48,-356.3184707
5.52,-351.2330287
5.56,-346.3136092
5.6,-341.5568873
5.6,-341.5568873
5.64,-336.9553676
5.68,-332.2414089
5.714290266,-328.1467375
5.72,-327.4733105
5.76,-322.7955357
5.8,-318.077273
5.819740471,-315.6630005
5.84,-313.0402487
5.875772809,-307.3808637
5.88,-306.6376277
5.92,-300.512714
5.96,-295.2495682
5.979141042,-293.5190676
6,-290.8075673
6.04,-285.0287515
6.04,-285.0287515
6.073926503,-280.7444784
6.08,-280.1252991
6.085854815,-279.391862
6.12,-274.4544505
6.154779326,-269.9476282
6.16,-269.4876713
6.173355638,-268.5547562
6.2,-265.3903707
6.224195143,-261.8545949
6.24,-259.6629838
6.253555776,-257.9306757
6.266357962,-256.572928
6.28,-255.2433552
6.28616511,-254.4514408
6.32,-249.5936694
6.36,-245.0437013
6.369274566,-244.575633
6.4,-241.0318173
6.422115651,-237.8011796
6.44,-235.3508072
6.461741251,-232.9516494
6.474950992,-231.7583343
6.48,-231.1223458
6.52,-225.5033362
6.56,-221.2398952
6.6,-217.3240015
6.629348184,-213.0979735
6.64,-211.6532065
6.659534506,-209.6021483
6.673982315,-208.390962
6.68,-207.6500033
6.72,-201.9729137
6.76,-197.9272291
6.76,-197.9272291
6.8,-193.8098719
6.84,-188.2162749
6.856956694,-186.5144748
6.870747894,-185.446863
6.88,-184.3621084
6.881268029,-184.2180387
6.92,-178.7114293
6.956852449,-175.1553132
6.96,-175.0606598
7,-170.5743212
7.04,-165.1256689
7.053646615,-163.8336299
7.067261207,-162.7101283
7.08,-161.1732247
7.12,-155.5279237
7.156271294,-152.392154
7.16,-152.2842707
7.2,-147.5464809
7.212955968,-145.685788
7.24,-142.2235571
7.250214419,-141.3042961
7.277565639,-138.5948805
7.28,-138.30837
7.32,-132.6533583
7.36,-129.5731749
7.4,-124.7203009
7.412143943,-122.9632065
7.44,-119.4339691
7.448965802,-118.6756892
7.48,-115.6151905
7.52,-109.931053
7.543494692,-107.4506423
7.56,-106.862168
7.6,-102.1261798
7.621321097,-99.05270155
7.64,-96.6623843
7.651787507,-95.62358961
7.68,-92.86544481
7.72,-87.13649008
7.744202705,-84.5451021
7.754995628,-84.11273996
7.76,-83.98529111
7.8,-79.22784739
7.820702591,-76.26056614
7.84,-73.79759543
7.851113085,-72.80264737
7.875044975,-70.53166312
7.88,-69.91864995
7.92,-64.18798979
7.940522759,-62.01251404
7.952101223,-61.43624139
7.96,-61.08609104
8,-56.01450333
8.04,-50.92150215
8.047330014,-50.23172492
8.059363684,-49.22138858
8.070422406,-47.88658315
8.08,-46.64540762
8.12,-41.07067331
8.151122535,-38.73787143
8.16,-38.03752103
8.2,-32.77035257
8.213095329,-30.98617686
8.234120211,-28.4031528
8.24,-27.86655319
8.244502857,-27.44738279
8.257208187,-26.37110455
8.28,-23.55371923
8.32,-17.96280993
8.345877602,-15.99623501
8.36,-15.09281964
8.4,-9.861384902
8.406877943,-8.872213283
8.44,-4.844467624
8.443147201,-4.561330495
8.48,-0.709133649
8.52,5.04459097
8.536477584,6.638507347
8.56,7.895343492
8.6,13.20142864
8.607635527,14.31509472
8.64,18.30346458
8.642283865,18.51321144
8.68,22.73969764
8.72,28.54658882
8.73594064,30.03240387
8.746253358,30.39049458
8.76,31.38924652
8.8,36.96265565
8.803977312,37.53355914
8.83738977,41.69074132
8.84,41.92261716
8.88,47.07421897
8.92,52.47272417
8.926381672,52.99778848
8.937595163,53.53131225
8.96,56.02639718
9,61.79895077
9.025795704,65.01552817
9.04,66.6387216
9.04,66.6387216
9.08,72.63096567
9.12,76.89432856
9.123369488,77.04182149
9.16,81.83190017
9.186390365,85.57778468
9.2,87.4224272
9.212780337,89.10934566
9.223688163,90.55203749
9.235095791,92.35348703
9.24,93.07077461
9.28,98.73904813
9.295080346,100.2335913
9.32,102.3213845
9.36,108.164883
9.394292031,112.7910021
9.4,113.5974905
9.408387942,115.0050417
9.44,120.3614904
9.48,125.6756214
9.486009938,126.2089988
9.52,129.8129651
9.56,135.8781447
9.586487841,139.7626777
9.6,141.9283559
9.64,148.6565615
9.68,153.4508447
9.687805919,153.9734724
9.72,158.5954021
9.76,164.2789393
9.77435943,166.5464423
9.8,170.694479
9.84,176.2624191
9.869651826,179.1944383
9.88,180.4478733
9.92,186.1666483
9.924882414,186.7255319
9.951397123,190.3731159
9.96,191.670049
10,197.4553938
10.04,201.4786834
10.04525319,201.9586134
10.08,206.6343402
10.12,211.2446672
10.1254856,212.0781936
10.16,217.0565079
10.2,221.2314733
10.20636086,221.8200601
10.2248584,223.6405964
10.24,225.2617306
10.27676806,229.6215483
10.28,229.9192822
10.32,233.8225977
10.36,237.862069
10.39249041,240.4840352
10.4,240.9993363
10.42283379,242.9455035
10.44,244.6313134
10.48,248.4280067
10.52,251.2599042
10.56,255.3157284
10.6,258.8524064
10.64,260.8205667
10.66478456,262.4676845
10.68,263.7766113
10.72,266.7593962
10.76,267.9654574
10.8,269.9954009
10.84,272.0314742
10.88,271.862221
10.90859972,271.1487264
10.92,270.878844
10.96,269.6619517
10.9667257,269.2843797
11,266.3357863
11.02704488,264.5624584
11.04,264.0495988
11.08,261.281674
11.08,261.281674
11.12,265.2434923
11.16,269.0393458
11.2,272.2476325
11.2,272.2476325
11.24,275.3522907
11.28,278.6162034
11.32,282.0011012
11.36,285.4742397
11.4,289.0227073
11.44,292.6474499
11.48,296.3426161
11.52,300.1161106
11.56,303.9221389
11.6,307.6977534
11.64,311.4752276
11.68,315.172018
11.72,318.653787
11.76,321.8954692
11.8,324.9096795
11.84,327.8159171
11.88,330.8100112
11.92,333.384496
11.96,335.738054
12,337.9587413
12.04,339.7328601
12.08,341.1550262
12.12,342.40612
12.16,343.5131395
12.2,344.4782152
12.24,345.3033937
12.28,345.9714699
12.32,346.5281481
12.36,347.2178682
12.38352865,347.8805278
12.4,348.5637278
12.44,352.5840529
12.48,358.4386965
12.52,364.7986792
12.56,371.1945873
12.6,377.5146703
12.6375,383.3698925
12.64,383.7591602
12.67296875,388.8827674
12.68,389.9760911
12.68703125,391.0701665
12.72,396.2010331
12.76,402.442829
12.8,408.6915002
12.84,414.941132
12.88,421.1923962
12.92,427.4478572
12.96,433.7105567
12.98,436.8414754
13,439.978851
13.02,443.1142591
13.04,446.2525097
13.08,452.5307778
13.12,458.8115537
13.16,465.0927722
13.2,471.3729341
13.24,477.6522942
13.28,483.9321507
13.2925,485.8944618
13.32,490.2151098
13.32875,491.5879521
13.36,496.4965089
13.4,502.776226
13.44,509.0599
13.48,515.3436422
13.52,521.6195869
13.56,527.8931798
13.6,534.1638722
13.64,540.431551
13.68,546.6924923
13.72,552.9453634
13.76,559.2073804
13.8,565.378085
13.84,571.3919469
13.88,577.3415311
13.92,583.1135129
13.96,588.6435688
14,594.0476615
14.04,599.5265339
14.08,605.2706348
14.12,611.1729316
14.16,617.0539163
14.2,622.7136138
14.24,628.2204901
14.28,633.7934115
14.32,639.4715468
14.36,645.0842339
14.4,650.6447544
14.44,656.1691168
14.48,661.5681901
14.52,667.1646585
14.56,673.4202209
14.6,679.4135944
14.64,685.3163493
14.68,691.2363439
14.72,697.153024
14.76,703.0614151
14.8,708.9660791
14.84,714.8703104
14.88,720.7780581
14.92,726.6836443
14.96,732.6719117
15,739.0122773
15.04,745.9335724
15.08,752.9300781
15.12,759.8538538
15.12,759.8538538
15.16,766.6786033
15.16,766.6786033
15.2,773.4104048
15.24,780.0588749
15.28,786.6224723
15.32,793.1237864
15.32,793.1237864
15.36,799.6837639
15.39258413,805.1875964
15.4,806.3687542
15.44,812.4980773
15.48,819.169082
15.49462029,821.6090443
15.52,825.3452244
15.55433408,830.3043683
15.56,831.1141432
15.6,836.8309644
15.64,842.5534995
15.660625,845.5090308
15.68,848.2889097
15.71,852.5938055
15.72,854.0285638
15.76,859.7648817
15.8,865.5029974
15.84,871.229761
15.88,876.9392147
15.92,882.6667868
15.96,888.5945365
16,894.5541577
16.04,900.3206951
16.08,905.8784723
16.12,911.2907256
16.16,916.6270476
16.2,921.8722027
16.24,927.1092414
16.28,932.5636538
16.28,932.5636538
16.32,938.022682
16.36,943.375483
16.3863737,946.8503933
16.4,948.6253916
16.44,953.7596455
16.48,958.8538077
16.52,964.1978193
16.56,970.0756638
16.6,976.6247602
16.64,983.9054902
16.68,991.9682756
16.72,1000.777312
16.76,1010.184465
16.8,1018.717808
16.84,1022.068394
16.88,1026.507939
16.92,1030.930794
16.96,1034.618188
17,1037.775519
17.04,1040.655341
17.08,1043.374048
17.12,1045.840146
17.16,1047.748142
17.2,1048.50476
17.23286407,1047.583366
17.24,1047.52756
17.25484838,1049.348001
17.26952063,1052.175467
17.28,1054.081979
17.2937388,1056.251315
17.32,1060.313734
17.36,1067.162457
17.4,1074.582193
17.44,1081.156574
17.48,1087.480801
17.52,1093.834307
17.56,1100.184802
17.6,1106.52247
17.63,1111.268694
17.64,1112.850239
17.68,1119.172317
17.72,1125.490788
17.76,1131.807665
17.8,1138.123014
17.84,1144.433644
17.88,1150.741074
17.92,1157.046461
17.96,1163.351903
18,1169.656101
18.04,1175.957434
18.08,1182.25539
18.12,1188.553898
18.16,1194.852141
18.2,1201.148672
18.20691933,1202.237808
18.24,1207.159869
18.28,1212.925111
18.32,1218.300996
18.36,1221.18883
18.4,1221.709847
18.44,1221.897763
18.48,1222.718132
18.52,1224.114482
18.56,1225.86896
18.6,1227.92902
18.64,1230.178724
18.68,1232.594583
18.72,1235.295684
18.76,1238.255866
18.8,1241.39319
18.84,1244.72187
18.88,1248.484059
18.92,1253.073602
18.96,1257.829269
19,1262.717287
19.04,1267.716262
19.08,1272.78362
19.12,1277.898958
19.16,1283.134897
19.2,1289.088704
19.24,1295.145543
19.28,1301.232409
19.32,1307.319094
19.36,1313.398245
19.4,1319.518159
19.44,1325.680067
19.48,1331.866318
19.52,1338.071564
19.56,1344.297478
19.6,1350.54182
19.64,1356.79754
19.68,1363.061424
19.72,1369.335543
19.76,1375.615229
19.8,1381.900165
19.84,1388.184925
19.88,1394.472407
19.92,1400.757654
19.92,1400.757654
19.96,1407.040274
20,1413.321019
20,1413.321019
20.04,1419.601347
20.08,1425.882112
20.12,1432.162986
20.16,1438.443519
20.2,1444.723638
20.24,1451.004494
20.28,1457.285637
20.32,1463.566541
20.36,1469.84698
20.4,1476.127757
20.44,1482.409119
20.48,1488.690824
20.52,1494.974616
20.56,1501.260029
20.6,1507.550725
20.64,1513.845666
20.68,1520.144593
20.72,1526.445314
20.76,1532.754652
20.8,1539.07448
20.84,1545.404021
20.88,1551.748013
20.92,1558.114661
20.96,1564.503878
21,1570.914925
21.04,1577.355453
21.08,1583.822231
21.12,1590.31496
21.16,1596.834099
21.2,1603.390517
21.24,1609.983758
21.28,1616.640493
21.32,1623.446094
21.36,1630.436119
21.4,1637.621951
21.44,1645.005687
21.48,1652.612331
21.52,1660.48422
21.56,1668.654817
21.6,1677.140922
21.64,1686.088375
21.6625,1691.278854
21.68,1695.021924
21.72,1701.895864
21.76,1708.694476
21.8,1715.56248
21.84,1722.384467
21.88,1729.151266
21.92,1735.876342
21.96,1742.567216
22,1749.228069
22.03,1754.204556
22.04,1755.859603
22.08,1762.461485
22.12,1769.035938
22.16,1775.587234
22.2,1782.119256
22.24,1788.632446
22.28,1795.126612
22.32,1801.602532
22.36,1808.06551
22.38,1811.292517
22.4,1814.515593
22.44,1820.95224
22.48,1827.375236
22.52,1833.788015
22.56,1840.192392
22.6,1846.587748
22.64,1852.972466
22.68,1859.348467
22.72,1865.719275
22.76,1872.084137
22.8,1878.441756
22.84,1884.791732
22.88,1891.137864
22.92,1897.480498
22.96,1903.818074
23,1910.149776
23.04,1916.477481
23.08,1922.803508
23.11274118,1927.996037
23.12,1929.192808
23.16,1935.639292
23.17968466,1938.587218
23.2,1941.031266
23.24,1943.651009
23.28,1944.370923
23.32,1944.824196
23.36,1945.7947
23.4,1947.427545
23.44,1949.53483
23.44,1949.53483
23.48,1951.94875
23.49,1952.60127
23.52,1954.667181
23.56,1957.628868
23.6,1960.776317
